OID|DESCRIPTION|AMOUNT|RPT_ID
83774|Vacation Fund Payable|1049|546211
83775|Friend of the Court Payable|262|546211
83776|Credit Union Payable|160|546211
83777|Pontiac City Tax Payable|143|546211
83778|TENANTS' SECURITY DEPOSITS|201427|546212
83779|DEATH BENEFIT PAYABLE|14000|546212
83780|Federal Income Tax|442|546216
83781|FICA (941)|369|546216
83782|State Income Taxes|542|546216
83783|Federal IUnemployment Taxes (940)|208|546216
83784|Pre-Paid Union Dues|11600|546230
83785|Payroll Liabilities|7337|546230
83786|Payroll tax liabilities|1912|546242
83787|International dues payable|40317|546242
83788|Employee PAC payable|30|546242
83789|RENTAL SECURITY DEPOSIT|1700|546243
83790|Active Ballot Club|16181|546259
83791|Payroll Liabilities|38205|546259
83792|Miscellaneous Payables|2861|546259
83793|Deferred Revenue|551519|546259
83794|Deferred Compensation|3743994|546259
83795|PAYROLL TAXES WITHHELD PAYABLE|1510|546269
83796|UNION BENEFITS WITHHELD PAYABLE|2213|546269
83797|PAYROLL TAXES DUE (NET OF DUE FROM AGENTS 938)|5574|546290
83798|COBRA expenses due|7041|546293
83799|Golf outing income due to charity|3788|546293
83800|Payroll Liabilities|3977|546296
83801|Other liablilities|10904|546303
83802|PAYROLL TAXES|468|546304
83803|TOLEDO CITY TAX|2744|546320
83804|OHIO STATE TAX|3117|546320
83805|OHIO SALES TAX|155|546320
83806|OHIO DEPT. OF JOBS & FAMILY SERVICES|2260|546320
83807|940 FUTA|625|546320
83808|WORK COMP|2749|546320
83809|                                                  ||546320
83810|LOCAL 92 SEVERANCE FUND|27823|546341
83811|EMPLOYEE PAYROLL WITHHOLDINGS|2650|546343
83812|DC CAB ASSOCIATION|475|546343
83813|DELAWARE EMPLOYMENT TRAINING FUND|14|546347
83814|FUTA|472|546347
83815|PAC WITHHOLDING|40|546347
83816|COMMUNITY POWERED-FEDERAL CREDIT UNION|1240|546347
83817|BENEFITS WITHHELD|841|546347
83818|DELAWARE UNEMPLOYMENT|22|546347
83819|SEVERANCE LIABILITY|39411|546348
83820|Dues Payable to AMFA Local 4|21247|546351
83821|Dues Payable to AMFA Local 11|31503|546351
83822|Dues Payable to AMFA Local 14|16131|546351
83823|Dues Payable to AMFA Local 18|21170|546351
83824|Dues Payable to AMFA Local 32|27100|546351
83825|Initiation Deposits|1572|546352
83826|FEDERAL PAYROLL TAX|1100|546354
83827|STATE PAYROLL TAX|1450|546354
83828|FICA/MECA EMPLOYEE|698|546354
83829|FICA/MECA EMPLOYER|698|546354
83830|STATE UNEMPLOYMENT TAX|244|546354
83831|FEDERAL UNEMPLOYMENT TAX|37|546354
83832|STATE SALES TAX|46|546354
83833|Payroll taxes and withholdings payable|1025|546356
83834|PAYROLL TAX WITHHOLDING|2824|546358
83835|PAYROLL LIABILITIES|211|546361
83836|PER CAPITA TAX|753607|546361
83837|TENANTS SECURITY PAYABLES|205475|546361
83838|ACCRUED EXPENSES|137451|546361
83839|DUE TO HOTEL TRADES COUNCIL |14732|546361
83840|December 2013 Federal 941 Tax|652|546363
83841|4th Quarter 2013 Federal 940 Tax|65|546363
83842|December 2013 Minnesota Withholding Tax|157|546363
83843|4th Quarter 2013 Minnesota Unemployment Tax|112|546363
83844|4th Quarter 2013 Union Dues on Payroll|160|546363
83845|SUPPLEMENTAL INSURANCE|174770|546367
83846|STAFF VACATION LIABILITY|152844|546367
83847|DEFERRED RENT|27740|546367
83848|Credit Cards Payable|1714|546373
83849|Payroll Deductions Payable|7960|546373
83850|Interest Payable|10522|546379
83851|Sales Tax and Other Payable|979|546379
83852|Payroll taxes payable|562|546381
83853|Funds Held for Others|601|546382
83854|Payroll Taxes|1747|546388
83855|Payroll Taxes & Union Dues Withheld|6323|546389
83856|ACCRUED VACATION|52168|546391
83857|PER CAPITA TAXES PAYABLE|102165|546395
83858|PAYROLL EXCHANGES PAYABLE|17401|546395
83859|PREPAID INITIATION LIABILITY|434|546395
83860|VACATION PAYABLE|37835|546395
83861|Security Deposit|2700|546396
83862|PAYROLL WITHHOLDINGS|73093|546397
83863|Federal Employee Income Taxes - December 2013|2430|546408
83864|FICA/MECA Employee - December 2013|1050|546408
83865|FICA/MECA Employer - December 2013|1050|546408
83866|FUTA - 2013|448|546408
83867|New York State Employee Income Tax - 2013|824|546408
83868|New City Employee Income Tax - 2013|383|546408
83869|New York State Unemployment Tax - 4th Qtr 2013|112|546408
83870|Int'l Union UAW, Per Capita Tax on 12/13 dues|33878|546408
83871|New York Region 9A CAP Council, PCT on 12/13 dues|2042|546408
83872|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|8373|546413
83873|Credit card payable|140|546414
83874|Employer's Federal Tax Return for 4th Quarter 2013|247|546419
83875|State Unemployment Tax for 4th Quarter 2013|71|546419
83876|Employer's Federal Unemployment Tax for 2013|42|546419
83877|State and County Tax Withheld for Year 2013|333|546419
83878|International Per Capita for December 2013|602|546419
83879|Region 2B UAW-CAP Council for December 2013|39|546419
83880|Area 7 Retired Workers Council Per Capita for Year|4|546419
83881|United Parcel Service Arbitration Award Payable|9000|546421
83882|PAYROLL TAXES PAYABLE|2555|546427
83883|OPM PENSION PAYABLE|1742|546427
83884|HEALTH BENEFITS PAYABLE|524|546427
83885|INSURANCE PAYABLE|840|546427
83886|WITHHELD PAYROLL TAXES|208|546440
83887|DEPOSIT|30|546440
83888|Payroll Taxes Payable|6965|546482
83889|PAYROLL WITHHOLDINGS|2486|546492
83890|ESCROW |1500|546492
83891|PER CAPITA TAX DUE|81547|546502
83892|PAYROLL TAX AND W/H'S|4427|546502
83893|UNITED WAY W/H'S|25478|546502
83894|DUE TO OTHER FUNDS|21798|546502
83895|OTHER PAYABLES|51|546502
83897|NONE|0|546505
83898|Tennant Security Deposit|1300|546512
83899|Payroll Taxes Withheld|6037|546512
83900|Dues Held for Transfer to Affiliates|53372|546514
83903|EMPLOYEE FICA WITHHOLDING PAYABLE|421|546515
83901|FEDERAL WITHHOLDING PAYABLE|618|546515
83902|CT STATE WITHHOLDING PAYABLE|280|546515
83904|EMPLOYER FICA WITHHOLDING PAYABLE|421|546515
83905|CT UNEMPLOYMENT PAYABLE|577|546515
83906|FEDERAL UNEMPLOYMENT PAYABLE|227|546515
83907|December 2013 State Withholding Tax|511|546516
83908|4th Quarter 2013 State Unemployment Taxes|154|546516
83909|4th Quarter 2013 Federal Unemployment Taxes|8|546516
83910|PAYROLL TAXES PAYABLE|2841|546518
83911|Funds held on behalf of affiliates|14853|546528
83912|Funds held on behalf of members|2293|546528
83913|Employer funds held in escrow|7637|546528
83914|941 qtrerly taxes|1429|546536
83915|State Unemployment taxes|3130|546536
83916|Michigan State Taxes|1809|546536
83917|Federal Unemployment Taxes|312|546536
83918|PER CAPITA TAX PAYABLE|31807|546540
83919|SCILDC PAYABLE|6993|546540
83920|SCILPL PAYABLE|4830|546540
83921|WAGES PAYABLE|2525|546540
83922|VACATION PAYABLE|5294|546540
83923|PAYROLL LIABILITIES|6921|546540
83924|Dues payable to the International Organization|135888|546544
83925|Payroll taxes and employee's payroll witholdings|55540|546544
83926|Payroll withholdings|246|546549
83927|Funds for transmittal|63|546549
83928|WITHHOLDING TAXES|10082|546551
83929|TARGET FUND PAYABLE|150213|546551
83930|BOND FUND PAYABLE|9800|546551
83931|ACCRUED PAYROLL TAXES AND WITHHOLDINGS|10859|546556
83932|ACCRUED REAL ESTATE TAXES|118000|546556
83933|CASH BOND DEPOSITS|30000|546556
83934|FEDERAL/FICA/MEDICARE WITHHOLDING PAYABLE|1525|546557
83935|STATE WITHHOLDING PAYABLE|210|546557
83936|D.R.I.V.E.|20|546557
83937|DUES PAYABLE|31298|546561
83938|STATE UNEMPLOYMENT TAX PAYABLE|2|546561
83939|FEDERAL UNEMPLOYMENT TAX PAYABLE|2|546561
83940|STATE WITHHOLDING PAYABLE|4427|546561
83941| WI Department of Revenue Withholding|13|546582
83942|FUTA-940|5671|546582
83943| Indiana Department of Revenue Sales Tax|91|546582
83944|Indiana Withholding Tax|2503|546582
83945|Indiana SUTA|1465|546582
83946|Withheld and Accrued Payroll Taxes|1734|546583
83947|Accrued per Capital Dues|3810|546583
83948|NONE|0|546592
83949|DEFERRED COMPENSATION|537885|546609
83950|PAYROLL WITHHOLDINGS|22644|546609
83951|ESTIMATED COMPENSATED ABSENCES|272000|546609
83952|PAYROLL TAXES AND OTHER WITHHOLDINGS|811|546612
83953|PAYROLL TAXES AND 401K WITHHOLDING|1922|546613
83954|Income Taxes|4212|546614
83955|Fica Taxes|1843|546614
83956|State Income Taxes|955|546614
83957|Union Dues|45|546614
83958|Federal Unemployment Taxes|74|546614
83959|State Unemployment Taxes|319|546614
83960|Pension Allocationsion|1161|546614
83961|Janitorial Services|1700|546614
83962|Per Capita Taxes|21654|546614
83963|Payroll Withholdings|5050|546626
83964|Due to Members|997|546626
83965|Int'l Hourly Work Dues|18312|546626
83966|Employee / Employer Payroll Taxes|2444|546628
83967|Payroll Ded.|907|546628
83968|PAYROLL TAX WITHHOLDINGS|2517|546643
83969|DUE TO 175 WELFARE FUND|57904|546661
83970|Accrued annual leave|106854|546672
83971|Accrued sick pay|19865|546672
83972|Accrued severance pay|223214|546672
83973|Accrued expenses|28861|546672
83974|Dues clearing|400157|546672
83975|Payroll Withholding|12150|546674
83976|Refundable Dues|432|546674
83977|ACCRUED EXPENSES PAYABLE|81773|546683
83978|PAYROLL TAXES ACCRUED AND PAYABLE|7545|546683
83979|NONE|0|546698
83980|Market Recovery Grant Payable|889327|546711
83981|Severance Pay Payable|41727|546712
83982|Member Relief Fund Payable|3313|546712
83983|Payroll Withholdings Payable|526|546712
83984|Payroll taxes payable|709|546714
83985|Due to affiliates|2578|546714
83986|JTB Trial Board|1300|546714
83987|Contractor escrow|20000|546714
83988|Due to Foundation for Fair Contracting|78|546714
83989|none|0|546715
83990|Payroll Taxes Withheld|15523|546716
83991|PAYROLL LIABILITIES|3084|546718
83992|WORKERS DUES PAYABLE|239|546718
83993|DEFERRED INCOME - DUES|184000|546720
83994|SEVERANCE PAYABLE|1183000|546720
83995|DUE TO RELATED ORGANIZATIONS|19400|546720
83996|Unemployment and  payroll taxes and withholding's|5881|546721
83997|Payroll Liabilities|5265|546724
83998|Due to Related Funds|14243|546727
83999|Employee Withholding Payable|4681|546727
84000|Payroll Withholdings|5592|546728
84001|Withdrawal Liability|29348|546728
84002|Payroll taxes and withholdings payable|2596|546730
84003|MISSOURI WITHHOLDING|1455|546732
84004|ST LOUIS CITY WITHHOLDING|764|546732
84005|KANSAS CITY WITHHOLDING|78|546732
84006|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|676|546735
84007|L.I.U.N.A. PENSION PLAN PAYABLE|88973|546738
84008|Officers' savings payable|13226|546742
84009|401K loans payable|1304|546742
84010|Employee 401K withholding|5260|546742
84011|State Withholding Payable|658|546744
84012|Per Capita Withholding|20|546744
84013|PAYROLL TAXES AND WITHHOLDINGS|33665|546757
84014|Payroll Taxes Withheld and Accrued|2349|546764
84015|Payroll Liabilities|7295|546770
84016|ACCRUED PAYROLL TAXES|1985|546775
84017|Accrued payroll taxes|9581|546776
84018|Employee dues payable|1347|546776
84019|Collections from members on their behalf|1408|546780
84020|Payroll withholdings|88|546780
84021|Payroll taxes|1803|546780
84022|Disaster Relief Fund|2000|546780
84023|Deferred Income|216|546780
84030|ACCRUED PAYROLL 12/16-12/31-2013 PLUS TAX $392|90011|546786
84031|PAYROLL LIABILITY - UNION DUES|1525|546786
84032|PAYROLL LIABILITY - EMPLOYEE VOLUNTARY DEDUCTIONS|177|546786
84033|ACCRUED COMPENSATED ABSENCES|115551|546786
84034|MEMBERS' SETTLEMENT PAYABLE|31|546786
84035|DEFERRED REVENUE - RETIREE INSURANCE|12384|546786
84036|PAYROLL WITHHOLDINGS PAYABLE|112|546791
84037|Payroll tax liabilities|8554|546795
84038|Deferred Income|36866|546801
84039|PREPAID MEMBER DUES|8756|546804
84040|PAYROLL WITHHOLDINGS|6800|546804
84041|PAYROLL TAX LIABILITIES|1750|546809
84042|Payroll taxes|921|546817
84043|Payroll Liabilities|5477|546820
84044|Due to Affiliates|3293|546820
84045|Security Deposits - Seven Brothers|5000|546820
84046|BUILDING FUND|729|546821
84047|COPE|5936|546821
84048|UNITED WAY|3417|546821
84049|PAYROLL TAXES PAYABLE|9821|546821
84050|EMPLOYEE SAVINGS|4126|546821
84051|BOND & FRINGES|63641|546821
84052|VACATION SAVINGS|8381|546821
84053|Accrued Payroll Taxes Direct|538|546825
84054|Accrued Payroll Taxes Withheld |627|546825
84055|941 Federal tax|1406|546834
84056|State tax|677|546834
84057|City tax|195|546834
84058|State unemployment tax|358|546834
84059|Deferred Revenue|9000|546835
84060|Contractor Relief Payable|1956910|546838
84061|Security Deposits|18782|546838
84062|Payroll withholdings|75|546839
84063|Payroll taxes|492|546839
84064|Deferred Income|784|546839
84065|EMPLOYEE TAXES WITHHELD NOT PAID AS OF 12/31/13|1707|546848
84066|Payroll Liabilities|993|546849
84067|DEFERRED LEASE INCENTIVE|330385|546851
84068|ADVANCE FROM APPRENTICESHIP TRUST FOR BUILDING|94911|546853
84069|PAYROLL LIABILITIES|2747|546853
84070|MEMBER OVER/UNDER PAYMENT|2591|546853
84071|DUE TO PAC FUND|1993|546853
84072|PAYROLL TAXES|4472|546854
84073|VACATION WITHHELD|1458|546854
84074|ACCRUED P/R TAXES|1120|546854
84075|PAC EXCHANGE|213|546854
84076|EMPLOYER BONDS|5000|546854
84077|State income tax|443|546856
84078|Federal income tax|1428|546856
84079|Fica - oasdi and hi|735|546856
84080|Fica - employer match|735|546856
84081|Dental/Medical|447|546856
84082|2013 Futa tax|108|546856
84084|Accrued serance pay|191724|546870
84085|Accrued vacation|45769|546870
84086|Union dues payable|119540|546870
84087|Vacation Fund WH|2136|546871
84088|Accrued PR Taxes|939|546871
84089|Accrued Expenses|402|546871
84090|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|1555|546880
84091|EMPLOYER BOND DEPOSITS|194606|546880
84092|Payroll tax Payable|1261|546886
84093|Vacation Benefits Withheld|1525|546895
84094|Payroll Withholdings|2953|546895
84095|N/A|0|546897
84096|ACCRUED PAYROLL TAXES|182|546899
84097|Deferred Dues Income|19262|546907
84098|Tenant Security Deposit|600|546907
84099|Payroll taxes payable|4751|546909
84100|PAYROLL TAXES PAYABLE|4097|546912
84101|STATE PAYROLL TAXES|333|546914
84102|CITY PAYROLL TAXES|15|546914
84103|STATE UNEMPLOYMENT TAXES|104|546914
84104|FEDERAL UNEMPLOYMENT TAXES|39|546914
84105|State of Michigan|1231|546922
84106|City of Detroit|6|546922
84107|Federal 941 Payroll Taxes|711|546922
84108|Federal Unemployment|26|546922
84109|NONE|0|546935
84110|PAYROLL TAXES WITHHELD|2261|546936
84111|Accrued Payroll Taxes|384|546937
84112|Withholding Taxes|4339|546937
84113|Payroll taxes payable|5379|546938
84114|Security deposit|50000|546939
84115|Payroll tax withholdings|7523|546939
84116|none|0|546941
84117|COPA DUE TO/FROM|495|546953
84118|POWER DUE TO/FROM LESS PAYROLL LIAB|1000|546953
84119|Payroll taxes payable|1077|546956
84120|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|735|546959
84121|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|16722|546968
84122|RENTAL SECURITY DEPOSIT PAYABLE|1990|546973
84123|Payroll withholdings|1639|546974
84124|NONE|0|546977
84125|FEDERAL UNEMPLOYMENT TAX|498|546980
84126|STATE UNEMPLOYMENT TAX|159|546980
84127|Exchange Payable|28820|546982
84128|PAYROLL TAXES|3190|547000
84129|WITHHELD PAYROLL ITEMS|1570|547004
84130|RENT DEPOSITS|2646|547021
84131|PAYROLL TAXES|4499|547021
84132|ACCRUED DELEGATE FUND|26655|547021
84133|Collected Wages-Members|2132|547057
84134|Collections Payable Relief Fund|893|547057
84135|Collections Payable-Local Fund|2588|547057
84136|Collections Payable-Mortuary Fund|15750|547057
84137|Payroll taxes|873|547063
84138|Payroll Liabilities|6107|547078
84139|UNUSED VACATION PAY OWED|48509|547079
84140|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|2768|547080
84141|PAYROLL WITHHOLDING PAYABLE|2679|547081
84142|VACATION FUND LIABILITY|6467|547081
84143|UA PAC PAYABLE|25158|547081
84144|PAYROLL WITHHOLDINGS |696|547082
84145|SECTION 457B DEFERRED COMPENSATION PLAN|1322380|547085
84146|DUE TO OTHER FUNDS|150661|547088
84147|PAYROLL TAXES WITHHELD|721|547088
84148|FRANCHISE TAX PAYABLE|80|547088
84149|Accrued Salaries|35403|547090
84150|Accrued PR taxes|1791|547090
84151|Accrued Vacation|59666|547090
84152|Employee payroll withholdings|7221|547096
84153|Payroll and other liabilities |10027|547101
84154|Funds Held for COPE|781|547102
84155|DUE TO AFFILIATES|401630|547103
84156|DUE TO MEMBERS SETTLEMENT|25663|547105
84157|Payroll Liabilities|157|547106
84158|N/A|0|547107
84159|N/A|0|547109
84160|Per Capita Tax & Working Dues Payable|116003|547111
84161|Underfunded Pension Obligation|208587|547111
84162|941 taxes|453|547112
84163|940 taxes|62|547112
84164|State taxes|434|547112
84165|State Unemployment taxes|286|547112
84166|Dues payable|9624|547115
84167|Dues paid in advance|45804|547115
84168|Payroll deductions|6004|547115
84169|Accrued payroll taxes|1608|547115
84170|Payroll Tax Liability|43|547117
84171|Deferred Revenue: Member Dues|36908|547120
84172|Deferred Revenue: Death Assessments|10312|547120
84173|Payroll Liabilities|68322|547120
84174|Construction Job Support Liabilities|607604|547120
84175|N/A|0|547121
84176|Accrued Salaries|287866|547130
84177|Accrued Vacation Leave|119225|547130
84178|Accrued Death Benefit|310034|547130
84179|Accrued Medical Benefit|15914|547130
84180|Accrued Legal Expenses|15000|547130
84181|Accrued Excise Tax|4162|547130
84182|Accrued Pension Cost|455000|547130
84183|Accrued Payroll Taxes|31361|547130
84184|Deferred Income|12963|547130
84185|Contributions Payable|430|547130
84186|Allowance for Uncollected Loan|75000|547130
84187|Allowance for Certificate of Deposit|2000000|547130
84188|Payroll Taxes Payable|21|547131
84189|Escrow Funds Held- Local Unions|3205|547133
84190|Accrued Post-retirement Benefits Cost|1082080|547133
84191|Deferred Compensation|486029|547133
84192|Amounts Due For Unsettled Investment Purchases|1371|547133
84193|STATE TAX FORWARDED|198|547135
84194|FEDERAL TAX PD AND FORWARDED|140|547135
84195|FEDERAL UNEMPLOYMENT TAX|38|547135
84196|STATE UNEMPLOYMENT TAX|203|547135
84197|941 Federal Taxes Forwarded|712|547137
84198|State Income Taxes Forwarded|92|547137
84199|City Income Taxes Forwarded|74|547137
84200|Unemployment Taxes|248|547140
84201|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|7457|547145
84202|N/A|0|547157
84203|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR-END|4947|547160
84204|ACCRUED PAYROLL TAXES|1265|547161
84205|Accrued Payroll Taxes Withheld|3383|547162
84206|SEVERANCE PAYABLE |233575|547164
84207|WITHHELD PAYROLL TAXES|4814|547174
84208|PAYROLL LIABILITIES|1877|547180
84209|VACATION FUND PAYABLE|834|547180
84210|UNION DUES PAYABLE|256|547180
84211|OTHER PAYABLE|1879|547180
84212|PAYROLL WITHHOLDINGS|4857|547185
84213|PAC CONTRIBUTIONS FROM MEMBERS|15080|547185
84214|Accrued Payroll Taxes and Withholdings|7528|547190
84215|Benefits Payable|52453|547202
84216|PAYROLL LIABILITIES|8764|547217
84217|Payroll Liabilities|27596|547218
84218|Accrued Salaries & Benefits|1242631|547218
84219|Accrued Audit Expenses|36112|547218
84220|Accrued Real Estate Taxes|9696|547218
84221|Accrued Expenses|35498|547218
84222|Security Deposits & Prepaid Rents|11986|547218
84223|Due to Local Unions|23768|547218
84224|Reserve for Legal Settlements|400000|547218
84225|Reserve for Convention|100000|547218
84229|2013 Dec Matching Fica|1219|547224
84226|2013 Nov Fcd/Fica Withholding|2015|547224
84227|2013 Dec Fed/Fica Withholding|3044|547224
84228|2013 Nov Matching Fica|901|547224
84230|2013 Dec State Tax Withholding|638|547224
84231|2013 Dec City tax withholding|341|547224
84232|2013 Qtr 4 State Unemployment|125|547224
84233|CREDIT CARD PAYABLE|707|547225
84234|Accrued vacation|25161|547232
84235|Payroll withholdings payable|380|547238
84236|COPE Payable|11833|547242
84237|PAYROLLTAXES|2809|547251
84238|COLLECTION FOR OTHERS|2645|547251
84239|Due to Broker [Pending Investment Trades]|2050|547258
84240|ACCRUED EXPENSES|112953|547264
84241|FRINGE BENEFIT EXCHANGE|4353|547264
84242|DEFERRED REVENUE|76927|547264
84243|PAYROLL WITHHOLDINGS|5314|547265
84244|DUE TO INTERNATIONAL|52843|547266
84245|ACCRUED PENSION|3341|547266
84246|ACCRUED COMPENSATED ABSENCES|288319|547266
84247|Accrued Payroll Taxes|480|547268
84248|State Unemployment Taxes Payable|340|547269
84249|Cope|520|547269
84250|Credit Union - Employee Direct Deposit|10853|547269
84251|Due to Joint Council 1217 USWU IUJAT|266304|547274
84252|PAYROLL TAX LIABILITIES|3517|547276
84253|Payroll Withholdings|892|547280
84254|ACCRUED PAYROLL LIABILITIES|10507|547282
84255|FUNDS DUE ABC INTERNATIONAL|25430|547282
84256|PER CAPITA TAXES PAYABLE|31227|547286
84257|Payroll Tax Liability|7400|547294
84258|Credit Card Payable|4238|547294
84259|Federal Unemployment Taxes (FUTA)|451|547295
84260|State Income Taxes|599|547295
84261|State Unemployment Taxes (SUTA)|458|547295
84262|FICA - Employee|542|547295
84263|FICA - Employer|542|547295
84264|Member Vacation Holding Account|35615|547297
84265|Fringe Benefit Payable|14741|547297
84266|Payroll Tax Liabilities|4702|547297
84267|DEFERRED REVENUE - ROCKLAND FAMILY SHELTER|11433|547298
84268|DUE TO BROKER|31394|547298
84269|PAYROLL LIABILITIES|3044|547299
84270|PAYROLL LIABILITIES|283|547305
84271|ESCROW PAYABLE - AD JOURNAL|22147|547305
84272|ACCRUED PAYROLL TAXES|997|547308
84273|NONE|0|547312
84274|EMPLOYEE WITHHOLDING|1503|547323
84275|PER CAPITA DUES PAYABLE|60074|547323
84276|Percapita Taxes|20346|547325
84277|Accrued Payroll Taxes|830|547325
84278|Accrued Pension|10252|547338
84279|Payroll Liabilities|2587|547338
84280|LIABILITY FOR SUPPLEMENTAL PENSION BENEFITS|270545|547346
84281|LIABILITY FOR DEFERRED COMPENSATION PLAN|90333|547346
84282|PENSION PAYABLE|317472|547346
84283|PAYROLL TAX WITHHOLDINGS|9670|547346
84284|PAYROLL TAXES PAYABLE|251|547351
84289|N/A|0|547379
84290|Payroll withholding deductions-(Includes P/R Taxes|16258|547389
84291|Accrued rebates due affiliated locals|6193|547389
84292|Accrued per capita payable - International Offices|2612798|547389
84293|Accrued pension contribution|97056|547389
84294|Accrued health insurance payable|60756|547389
84295|Accrued Salary/Benefit reimbursement|19551|547389
84296|Security Deposits Due back to Tenants|610|547398
84297|Due to Related Benefit Funds|14440|547398
84298|SECURITY DEPOSITS|38476|547400
84299|MEMBER COPE EXCHANGE|6879|547400
84300|PAYROLL WITHHOLDINGS|12034|547400
84301|DUE TO SEIU INTERNATIONAL UNION - PER CAPITA TAXES|3469421|547400
84302|International Per Capita Payable|290553|547407
84303|Vacation Payable|1352878|547407
84304|EPEC WH|384|547417
84305|ADMINISTRATIVE DUES|884|547417
84306|401K DEFERRAL|800|547417
84307|STATE OF GEORGIA DEPARTMENT OF REVENUE - STATE TAX|1057|547433
84308|ACCRUED PAYROLL TAXES|1903|547434
84309|Accrued Expenses|93206|547439
84310|Due to International|53053|547439
84311|Payroll Tax Payable|1084|547439
84312|Payroll Taxes Payable|1228|547440
84313|Per Capita Payable|43318|547442
84314|PREPAID PER CAPITA|300799|547469
84315|DUE TO IUPAT NATIONAL PENSION FUND|106566|547469
84316|DUE TO THE FINISHING TRADES INSTITUTE|9797|547469
84317|DUE TO THE LABOR MANAGEMENT COOPERATIVE|21614|547469
84318|DUE TO PAT-LEGISLATIVE|273882|547469
84319|DUE TO PATCH|1942|547469
84320|ACCRUED PAYROLL EXPENSES|68963|547469
84321|UNCOLLECTED DEATH BENEFITS|81250|547469
84322|ACCRUED POST RETIREMENT|1748157|547469
84323|PAYROLL WITH HOLDINGS|5890|547469
84324|Payroll taxes and benefits withheld|3576|547485
84325|PAYROLL TAXES PAYABLE|711|547487
84326|PAYROLL TAXES / WITHHOLDINGS|16902|547488
84327|UNCLAIMED FUNDS|1966|547488
84328|NONE|0|547489
84329|PAYROLL TAXES PAYABLE|2417|547494
84330|RETIREMENT PLAN PAYABLE|125|547494
84331|N/A|0|547496
84332|MEMBER BENEFITS|9510|547501
84333|Accrued Payroll Taxes & Withholdings|3760|547504
84334|Accrued Severance Pay|137692|547504
84335|Due to Members|8500|547504
84336|Withheld Employee 401k Loan Due Employee|145|547510
84337|Withheld Federal Payroll Taxes|462|547510
84338|Withheld Leadership 21|220|547510
84339|ACCRUED EXPENSES|30679|547518
84340|OHIO JOB AND FAMILY SERVICES - 4TH QUARTER|26|547520
84341|FEDERAL UNEMPLOYMENT TAXES PAYABLE|429|547520
84342|STATE TAXES - OHIO|189|547520
84343|STATE TAXES - KENTUCKY|295|547520
84344|D.R.I.V.E. PAYABLE|46|547520
84345|LOCAL TAXES PAYABLE|861|547520
84346|Deferred Revenue|7251|547521
84347|ACCOUNTS PAYABLE|47085|547522
84348|SUTA|279|547524
84349|WITHHELD AND ACCRUED PAYROLL TAXES|4147|547526
84350|PAYROLL WITHHOLDINGS|1340|547527
84351|PERMIT FEES DUE TO INTERNATIONAL UNION|32827|547528
84352|PER CAPITA TAXES|15717|547528
84354|ACCRUED PAYROLL|3730|547537
84355|PAYROLL LIABILITIES|2149|547537
84356|ACCRUED FRINGES|30632|547537
84357|Payroll withholdings not remitted at year end|9187|547539
84358|Employer bond deposit|602|547539
84359|Accrued Payroll|11223|547540
84360|Accrued Payroll Taxes|1091|547540
84361|Rental Security Deposit|3061|547540
84362|Accrued Compensated Absences|4583|547540
84363|Pension Payable |47440|547540
84364|Due to Related Benefit Funds|409120|547541
84365|PAYROLL WITHHOLDING LIABILITIES|10936|547543
84366|ESTIMATED DEATH BENEFIT CLAIMS PAYABLE|507437|547544
84367|ACCRUED POST-RETIREMENT HEALTH BENEFITS COST|36561783|547544
84368|ACCRUED SEVERANCE PLAN|1336002|547544
84369|PAYROLL TAXES WITHHELD|1913|547545
84375|NONE|0|547547
84376|N/A|0|547549
84381|PAYROLL TAXES|2613|547556
84382|STEWARD FUND|3137|547556
84383|PAYROLL TAX LIABILITIES|13213|547558
84384|Federal Income Taxes|1039|547559
84385|Other Tax|158|547559
84390|NONE|0|547561
84391|UNION TRAVEL MASTERCARD|2660|547562
84392|ACCRUED INTERNATIONAL CONVENTION LIABILITY|53100|547562
84393|ACCRUED PROFESSIONAL FEES PAYABLE|3400|547562
84394|PAYROLL TAXES PAYABLE|7420|547562
84395|SALARIES PAYABLE|26326|547562
84396|STATE TAXES WITHHELD|2958|547562
84397|CITY TAXES WITHHELD|1459|547562
84398|UNEARNED (PREPAID) DUES|33017|547562
84399|BAKERS' POLITICAL ORGANIZATION PAYABLE|1218|547562
84400|ACCRUED PAYROLL TAXES & WITHHOLDINGS|1044|547566
84401|DEFERRED REVENUE DUES|2991|547566
84402|FUND DEPOSITS|35668|547566
84403|Check-OFF Dues Payable|878538|547567
84404|Check-OFF Due Building Fund Payable|135167|547567
84405|Hiring Hall Fee Obligations - refunds|438|547567
84406|Death Benefits Payable|41771|547567
84407|Wage Garnishment Payable|644|547567
84408|International Union Dues Payable|1981|547567
84409|Accrued Salaries & Wages|6929|547567
84410|Accrued Payroll Taxes Payable|2867|547567
84411|Deferred Rental Income|4000|547567
